publication_id	user_id	title	description	pages	category	publication_date
1	1	Publication 1 of anna_ivanov_1	"Description 1 line 1
Description 1 line 2"	614	History	2021-11-12
2	1	Publication 2 of anna_ivanov_1	"Description 2 line 1
Description 2 line 2"	233	Technology	2021-04-06
3	2	Publication 1 of pavel_morozov_2	"Description 1 line 1
Description 1 line 2"	399	Science	2023-12-06
4	3	Publication 1 of maria_ivanov_3	"Description 1 line 1
Description 1 line 2
Description 1 line 3"	801	Art	2023-08-05
5	3	Publication 2 of maria_ivanov_3	"Description 2 line 1
Description 2 line 2
Description 2 line 3
Description 2 line 4"	474	Business	2023-08-07
6	3	Publication 3 of maria_ivanov_3	"Description 3 line 1
Description 3 line 2
Description 3 line 3"	696	Art	2025-03-13
7	3	Publication 4 of maria_ivanov_3	"Description 4 line 1
Description 4 line 2
Description 4 line 3"	711	Art	2023-07-21
8	4	Publication 1 of pavel_ivanov_4	"Description 1 line 1
Description 1 line 2
Description 1 line 3"	772	Education	2023-09-07
9	5	Publication 1 of daria_morozov_5	"Description 1 line 1
Description 1 line 2"	166	Business	2021-06-24
10	5	Publication 2 of daria_morozov_5	"Description 2 line 1
Description 2 line 2
Description 2 line 3
Description 2 line 4"	576	Science	2022-04-03
11	5	Publication 3 of daria_morozov_5	"Description 3 line 1
Description 3 line 2"	749	Business	2021-09-29
12	5	Publication 4 of daria_morozov_5	"Description 4 line 1
Description 4 line 2
Description 4 line 3"	166	Art	2023-05-31
13	6	Publication 1 of ivan_volkova_6	"Description 1 line 1
Description 1 line 2"	97	Business	2021-08-31
14	6	Publication 2 of ivan_volkova_6	"Description 2 line 1
Description 2 line 2
Description 2 line 3"	141	Business	2023-09-01
15	6	Publication 3 of ivan_volkova_6	"Description 3 line 1
Description 3 line 2
Description 3 line 3"	740	Art	2023-07-19
16	7	Publication 1 of nikita_sokolova_7	"Description 1 line 1
Description 1 line 2
Description 1 line 3
Description 1 line 4"	31	Education	2024-04-28
17	7	Publication 2 of nikita_sokolova_7	"Description 2 line 1
Description 2 line 2
Description 2 line 3
Description 2 line 4"	82	Education	2024-05-09
18	8	Publication 1 of pavel_sidorov_8	"Description 1 line 1
Description 1 line 2
Description 1 line 3
Description 1 line 4
Description 1 line 5"	430	History	2025-01-30
19	8	Publication 2 of pavel_sidorov_8	"Description 2 line 1
Description 2 line 2"	422	Business	2024-07-21
20	8	Publication 3 of pavel_sidorov_8	"Description 3 line 1
Description 3 line 2
Description 3 line 3"	206	Technology	2025-05-09
21	8	Publication 4 of pavel_sidorov_8	"Description 4 line 1
Description 4 line 2"	463	Education	2025-11-27
22	9	Publication 1 of ivan_petrova_9	"Description 1 line 1
Description 1 line 2
Description 1 line 3"	398	Science	2025-04-06
23	9	Publication 2 of ivan_petrova_9	"Description 2 line 1
Description 2 line 2
Description 2 line 3
Description 2 line 4
Description 2 line 5"	168	Technology	2024-03-30
24	9	Publication 3 of ivan_petrova_9	"Description 3 line 1
Description 3 line 2"	775	Art	2023-03-12
25	9	Publication 4 of ivan_petrova_9	"Description 4 line 1
Description 4 line 2
Description 4 line 3
Description 4 line 4
Description 4 line 5"	524	Education	2020-07-04
26	10	Publication 1 of anna_sidorov_10	"Description 1 line 1
Description 1 line 2
Description 1 line 3"	602	Education	2025-10-21
27	10	Publication 2 of anna_sidorov_10	"Description 2 line 1
Description 2 line 2
Description 2 line 3
Description 2 line 4"	254	Art	2024-10-13
28	11	Publication 1 of maria_sokolova_11	"Description 1 line 1
Description 1 line 2"	260	Art	2025-10-12
29	11	Publication 2 of maria_sokolova_11	"Description 2 line 1
Description 2 line 2
Description 2 line 3
Description 2 line 4"	636	Business	2022-01-04
30	11	Publication 3 of maria_sokolova_11	"Description 3 line 1
Description 3 line 2
Description 3 line 3
Description 3 line 4"	689	Science	2024-09-29
31	11	Publication 4 of maria_sokolova_11	"Description 4 line 1
Description 4 line 2
Description 4 line 3
Description 4 line 4"	298	Education	2020-04-27
32	12	Publication 1 of maria_sokolova_12	"Description 1 line 1
Description 1 line 2"	351	Technology	2021-09-03
33	12	Publication 2 of maria_sokolova_12	"Description 2 line 1
Description 2 line 2
Description 2 line 3
Description 2 line 4
Description 2 line 5"	584	Science	2025-09-18
34	12	Publication 3 of maria_sokolova_12	"Description 3 line 1
Description 3 line 2
Description 3 line 3"	568	Science	2019-10-29
