review_id	publication_id	user_id	text
1	3	697	"Review 1 for post 1 line 1
Review 1 for post 1 line 2
Review 1 for post 1 line 3"
2	3	319	"Review 2 for post 1 line 1
Review 2 for post 1 line 2"
3	3	690	"Review 3 for post 1 line 1
Review 3 for post 1 line 2"
4	4	601	"Review 1 for post 1 line 1
Review 1 for post 1 line 2
Review 1 for post 1 line 3
Review 1 for post 1 line 4"
5	4	741	"Review 2 for post 1 line 1
Review 2 for post 1 line 2
Review 2 for post 1 line 3
Review 2 for post 1 line 4"
6	4	394	"Review 3 for post 1 line 1
Review 3 for post 1 line 2
Review 3 for post 1 line 3
Review 3 for post 1 line 4"
7	4	143	"Review 4 for post 1 line 1
Review 4 for post 1 line 2"
8	5	207	"Review 1 for post 2 line 1
Review 1 for post 2 line 2
Review 1 for post 2 line 3"
9	6	759	"Review 1 for post 3 line 1
Review 1 for post 3 line 2
Review 1 for post 3 line 3"
10	7	351	"Review 1 for post 4 line 1
Review 1 for post 4 line 2
Review 1 for post 4 line 3
Review 1 for post 4 line 4"
11	7	502	"Review 2 for post 4 line 1
Review 2 for post 4 line 2"
12	7	947	"Review 3 for post 4 line 1
Review 3 for post 4 line 2
Review 3 for post 4 line 3"
13	7	553	"Review 4 for post 4 line 1
Review 4 for post 4 line 2
Review 4 for post 4 line 3
Review 4 for post 4 line 4"
14	8	645	"Review 1 for post 1 line 1
Review 1 for post 1 line 2"
15	8	1023	"Review 2 for post 1 line 1
Review 2 for post 1 line 2
Review 2 for post 1 line 3"
16	8	940	"Review 3 for post 1 line 1
Review 3 for post 1 line 2"
17	8	543	"Review 4 for post 1 line 1
Review 4 for post 1 line 2"
18	10	131	"Review 1 for post 2 line 1
Review 1 for post 2 line 2
Review 1 for post 2 line 3"
19	10	782	"Review 2 for post 2 line 1
Review 2 for post 2 line 2
Review 2 for post 2 line 3
Review 2 for post 2 line 4"
20	10	959	"Review 3 for post 2 line 1
Review 3 for post 2 line 2
Review 3 for post 2 line 3
Review 3 for post 2 line 4"
21	11	547	"Review 1 for post 3 line 1
Review 1 for post 3 line 2
Review 1 for post 3 line 3
Review 1 for post 3 line 4"
22	11	697	"Review 2 for post 3 line 1
Review 2 for post 3 line 2"
23	11	602	"Review 3 for post 3 line 1
Review 3 for post 3 line 2
Review 3 for post 3 line 3"
24	11	324	"Review 4 for post 3 line 1
Review 4 for post 3 line 2
Review 4 for post 3 line 3"
25	12	366	"Review 1 for post 4 line 1
Review 1 for post 4 line 2
Review 1 for post 4 line 3
Review 1 for post 4 line 4"
26	12	218	"Review 2 for post 4 line 1
Review 2 for post 4 line 2
Review 2 for post 4 line 3
Review 2 for post 4 line 4"
27	12	612	"Review 3 for post 4 line 1
Review 3 for post 4 line 2
Review 3 for post 4 line 3
Review 3 for post 4 line 4"
28	12	1040	"Review 4 for post 4 line 1
Review 4 for post 4 line 2
Review 4 for post 4 line 3
Review 4 for post 4 line 4"
29	13	119	"Review 1 for post 1 line 1
Review 1 for post 1 line 2"
30	15	339	"Review 1 for post 3 line 1
Review 1 for post 3 line 2
Review 1 for post 3 line 3"
31	15	1081	"Review 2 for post 3 line 1
Review 2 for post 3 line 2
Review 2 for post 3 line 3
Review 2 for post 3 line 4"
32	15	867	"Review 3 for post 3 line 1
Review 3 for post 3 line 2"
33	15	1105	"Review 4 for post 3 line 1
Review 4 for post 3 line 2
Review 4 for post 3 line 3
Review 4 for post 3 line 4"
34	17	452	"Review 1 for post 2 line 1
Review 1 for post 2 line 2"
35	17	146	"Review 2 for post 2 line 1
Review 2 for post 2 line 2
Review 2 for post 2 line 3
Review 2 for post 2 line 4"
36	17	121	"Review 3 for post 2 line 1
Review 3 for post 2 line 2"
37	17	139	"Review 4 for post 2 line 1
Review 4 for post 2 line 2"
38	18	834	"Review 1 for post 1 line 1
Review 1 for post 1 line 2"
39	18	194	"Review 2 for post 1 line 1
Review 2 for post 1 line 2"
40	18	883	"Review 3 for post 1 line 1
Review 3 for post 1 line 2
Review 3 for post 1 line 3"
41	21	288	"Review 1 for post 4 line 1
Review 1 for post 4 line 2
Review 1 for post 4 line 3"
42	21	376	"Review 2 for post 4 line 1
Review 2 for post 4 line 2
Review 2 for post 4 line 3"
43	21	948	"Review 3 for post 4 line 1
Review 3 for post 4 line 2"
44	22	822	"Review 1 for post 1 line 1
Review 1 for post 1 line 2"
45	23	932	"Review 1 for post 2 line 1
Review 1 for post 2 line 2
Review 1 for post 2 line 3"
46	23	867	"Review 2 for post 2 line 1
Review 2 for post 2 line 2
Review 2 for post 2 line 3
Review 2 for post 2 line 4"
47	24	120	"Review 1 for post 3 line 1
Review 1 for post 3 line 2
Review 1 for post 3 line 3
Review 1 for post 3 line 4"
48	27	168	"Review 1 for post 2 line 1
Review 1 for post 2 line 2
Review 1 for post 2 line 3"
49	27	1196	"Review 2 for post 2 line 1
Review 2 for post 2 line 2
Review 2 for post 2 line 3
Review 2 for post 2 line 4"
50	27	1071	"Review 3 for post 2 line 1
Review 3 for post 2 line 2
Review 3 for post 2 line 3"
51	27	535	"Review 4 for post 2 line 1
Review 4 for post 2 line 2"
52	28	205	"Review 1 for post 1 line 1
Review 1 for post 1 line 2"
53	28	1102	"Review 2 for post 1 line 1
Review 2 for post 1 line 2"
54	28	1037	"Review 3 for post 1 line 1
Review 3 for post 1 line 2
Review 3 for post 1 line 3"
55	28	272	"Review 4 for post 1 line 1
Review 4 for post 1 line 2
Review 4 for post 1 line 3"
56	29	898	"Review 1 for post 2 line 1
Review 1 for post 2 line 2
Review 1 for post 2 line 3
Review 1 for post 2 line 4"
57	31	237	"Review 1 for post 4 line 1
Review 1 for post 4 line 2"
58	31	1134	"Review 2 for post 4 line 1
Review 2 for post 4 line 2"
59	33	331	"Review 1 for post 2 line 1
Review 1 for post 2 line 2
Review 1 for post 2 line 3
Review 1 for post 2 line 4"
60	33	905	"Review 2 for post 2 line 1
Review 2 for post 2 line 2
Review 2 for post 2 line 3
Review 2 for post 2 line 4"
61	35	1132	"Review 1 for post 4 line 1
Review 1 for post 4 line 2"
62	35	881	"Review 2 for post 4 line 1
Review 2 for post 4 line 2"
63	35	86	"Review 3 for post 4 line 1
Review 3 for post 4 line 2
Review 3 for post 4 line 3"
64	35	747	"Review 4 for post 4 line 1
Review 4 for post 4 line 2"
65	36	51	"Review 1 for post 1 line 1
Review 1 for post 1 line 2"
66	36	681	"Review 2 for post 1 line 1
Review 2 for post 1 line 2
Review 2 for post 1 line 3"
67	36	509	"Review 3 for post 1 line 1
Review 3 for post 1 line 2
Review 3 for post 1 line 3"
68	37	80	"Review 1 for post 2 line 1
Review 1 for post 2 line 2
Review 1 for post 2 line 3"
69	37	456	"Review 2 for post 2 line 1
Review 2 for post 2 line 2"
70	37	943	"Review 3 for post 2 line 1
Review 3 for post 2 line 2
Review 3 for post 2 line 3"
71	38	819	"Review 1 for post 1 line 1
Review 1 for post 1 line 2
Review 1 for post 1 line 3
Review 1 for post 1 line 4"
